,,,,,,Scoring,,,,,Goals,,,,Assists,,,Shots,,,Ice Time,,Faceoffs,,,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
662,Kyle Capobianco,28,DAL,D,33,2,3,5,1,8,2,0,0,0,3,0,0,18,11.1,66,400:24,12:08,0,0,,27,12,9,20,,capobky01
663,Adam Edstrom,25,NYR,C,35,3,2,5,1,2,3,0,0,1,2,0,0,31,9.7,54,331:08,9:28,7,14,33.3,22,65,5,18,,edstrad01
664,Benoit-Olivier Groulx,25,TOR,C,13,3,2,5,4,0,2,0,1,2,2,0,0,15,20.0,32,204:00,15:42,58,97,37.4,6,34,0,11,,groulbe01
665,Isaac Howard,21,EDM,LW,29,2,3,5,-6,12,2,0,0,0,3,0,0,36,5.6,74,299:01,10:19,0,0,,5,7,2,17,,howaris01
666,Arttu Hyry,24,DAL,F,20,3,2,5,1,2,2,0,1,0,2,0,0,24,12.5,42,235:31,11:47,121,88,57.9,6,32,4,12,,hyryar01
667,Max Jones,27,EDM,LW,21,3,2,5,3,9,3,0,0,2,2,0,0,22,13.6,38,175:16,8:21,0,0,,3,56,5,8,,jonesma03
668,Tyson Kozak,23,BUF,C,45,2,3,5,-1,2,2,0,0,0,3,0,0,30,6.7,53,505:08,11:14,182,194,48.4,36,116,11,28,,kozakty01
669,Jiri Kulich,21,BUF,C,12,3,2,5,-4,4,3,0,0,0,2,0,0,20,15.0,43,196:22,16:22,68,95,41.7,12,9,1,10,,kulicji01
670,Zachary L'Heureux,22,NSH,LW,24,4,1,5,5,21,4,0,0,0,0,1,0,32,12.5,63,318:00,13:15,3,4,42.9,15,64,5,14,,lheurza01
671,Tanner Laczynski,28,VEG,C,10,0,5,5,0,4,0,0,0,0,4,1,0,12,0.0,24,107:42,10:46,38,40,48.7,5,2,3,5,,laczyta01
672,Nikolas Matinpalo,27,OTT,D,49,0,5,5,-2,16,0,0,0,0,4,0,1,37,0.0,99,762:43,15:34,0,0,,54,49,11,33,,matinni01
673,Rutger McGroarty,21,PIT,RW,23,2,3,5,-3,4,2,0,0,0,3,0,0,36,5.6,62,271:43,11:49,8,9,47.1,8,26,3,14,,mcgroru01
674,Jacob Melanson,22,SEA,RW,36,2,3,5,-9,32,2,0,0,0,3,0,0,33,6.1,80,337:12,9:22,1,0,100.0,13,188,4,15,,melanja01
675,Elias Salomonsson,21,WPG,D,32,1,4,5,-6,12,1,0,0,0,3,1,0,37,2.7,111,574:48,17:58,0,0,,27,50,2,35,,salomel01
676,David Tomasek,29,EDM,F,22,3,2,5,-6,10,3,0,0,0,0,2,0,30,10.0,52,236:41,10:46,30,34,46.9,6,17,3,12,,tomasda01
677,Sandis Vilmanis,22,FLA,LW,19,3,2,5,-1,4,3,0,0,0,2,0,0,15,20.0,30,197:33,10:24,3,1,75.0,5,39,5,11,,vilmasa01
678,Tim Washe,24,ANA,F,37,2,3,5,-4,14,2,0,0,0,3,0,0,32,6.3,75,449:44,12:09,211,158,57.2,25,84,12,8,,washeti01
679,Ozzy Wiesblatt,23,NSH,RW,39,1,4,5,-5,38,1,0,0,0,4,0,0,24,4.2,61,397:34,10:12,2,5,28.6,17,97,7,15,,wiesboz01
680,Jack Finley,23,2TM,C,43,2,3,5,2,38,2,0,0,1,3,0,0,23,8.7,41,412:59,9:36,190,186,50.5,9,73,1,12,,finleja01
680,Jack Finley,23,TBL,C,22,2,1,3,2,21,2,0,0,1,1,0,0,11,18.2,19,185:08,8:25,83,88,48.5,5,37,0,5,,finleja01
680,Jack Finley,23,STL,C,21,0,2,2,0,17,0,0,0,0,2,0,0,12,0.0,22,227:51,10:51,107,98,52.2,4,36,1,7,,finleja01
681,Michael Benning,24,FLA,D,17,0,4,4,-6,2,0,0,0,0,3,1,0,13,0.0,47,282:40,16:38,0,0,,13,4,5,17,,bennimi01
682,Tobias Björnfot,24,FLA,D,18,2,2,4,-1,2,2,0,0,0,2,0,0,12,16.7,25,249:08,13:50,0,0,,23,14,2,10,,bjornto01
683,Adam Boqvist,25,NYI,D,28,0,4,4,-9,8,0,0,0,0,3,1,0,17,0.0,51,366:41,13:06,0,0,,23,11,5,11,,boqviad01
684,Joshua Dunne,27,BUF,C,33,1,3,4,-6,38,1,0,0,0,3,0,0,28,3.6,56,310:18,9:24,59,52,53.2,15,39,6,16,,dunnejo01
685,Robby Fabbri,30,2TM,C,20,1,3,4,-5,16,1,0,0,0,3,0,0,26,3.8,42,235:50,11:48,4,2,66.7,9,42,0,6,,fabbrro01
685,Robby Fabbri,30,STL,C,15,1,3,4,-3,12,1,0,0,0,3,0,0,17,5.9,28,188:55,12:36,4,2,66.7,8,34,0,6,,fabbrro01
685,Robby Fabbri,30,MIN,C,5,0,0,0,-2,4,0,0,0,0,0,0,0,9,0.0,14,46:55,9:23,0,0,,1,8,0,0,,fabbrro01
686,Haydn Fleury,29,WPG,D,37,2,2,4,-17,12,2,0,0,0,2,0,0,25,8.0,69,510:15,13:47,0,0,,55,53,8,28,,fleurha01
687,Filip Hallander,25,PIT,C,13,1,3,4,4,2,0,0,1,1,3,0,0,22,4.5,47,170:51,13:09,0,2,0.0,5,3,2,12,,hallafi01
688,Konsta Helenius,19,BUF,F,9,1,3,4,1,0,1,0,0,0,3,0,0,15,6.7,24,107:11,11:55,10,14,41.7,3,10,1,6,,helenko01
689,Nils Höglander,25,VAN,LW,36,2,2,4,-4,8,2,0,0,0,2,0,0,33,6.1,85,410:11,11:24,0,0,,8,50,5,24,,hoglani01
690,Samuel Honzek,21,CGY,LW,18,2,2,4,1,2,2,0,0,0,2,0,0,22,9.1,42,222:09,12:21,6,5,54.5,6,35,1,9,,honzesa01
691,John Leonard,27,DET,LW,11,2,2,4,-3,0,2,0,0,0,0,2,0,11,18.2,30,126:31,11:30,0,0,,9,12,2,13,,leonajo01
692,Theo Lindstein,21,STL,D,17,2,2,4,6,6,2,0,0,1,2,0,0,20,10.0,50,267:56,15:46,0,0,,14,8,1,9,,lindsth01
693,Mackenzie MacEachern,31,VAN,LW,8,1,3,4,0,12,1,0,0,0,3,0,0,6,16.7,10,81:28,10:11,1,1,50.0,6,10,1,3,,maceama01
694,Jacob Markström,36,NJD,G,44,0,4,4,0,13,0,0,0,0,1,2,1,0,,1,2544:01,57:49,0,0,,0,0,0,22,,marksja02
695,Tomáš Nosek,33,FLA,C,21,2,2,4,-8,4,2,0,0,1,2,0,0,8,25.0,38,296:24,14:07,104,121,46.2,12,51,3,14,,nosekto01
696,Liam O'Brien,31,UTA,C,36,3,1,4,-6,43,3,0,0,0,1,0,0,33,9.1,81,326:44,9:05,6,3,66.7,12,111,1,11,,obrieli01
697,Ilya Protas,19,WSH,LW,3,1,3,4,1,2,0,1,0,0,3,0,0,6,16.7,7,47:28,15:49,16,17,48.5,1,0,1,1,,protail01
698,Scott Sabourin,33,TBL,F,25,1,3,4,0,89,1,0,0,0,3,0,0,10,10.0,30,195:19,7:49,0,2,0.0,11,61,1,9,,sabousc01
699,Adam Sykora,21,NYR,LW,10,3,1,4,0,5,3,0,0,0,1,0,0,14,21.4,26,114:11,11:25,1,1,50.0,10,18,2,3,,sykorad01
700,Joe Veleno,26,MTL,C,60,2,2,4,-12,19,2,0,0,1,2,0,0,52,3.8,100,727:18,12:07,162,153,51.4,32,161,8,17,,velenjo01
701,Colton White,28,NJD,D,23,0,4,4,2,2,0,0,0,0,4,0,0,14,0.0,32,281:53,12:15,0,0,,16,23,4,21,,whiteco03
702,Jared Wright,23,LAK,RW,21,0,4,4,1,2,0,0,0,0,4,0,0,30,0.0,49,239:00,11:23,0,1,0.0,16,26,4,6,,wrighja03
703,Maxim Tsyplakov,27,2TM,F,48,2,2,4,-16,6,2,0,0,0,2,0,0,41,4.9,89,435:05,9:04,9,10,47.4,8,83,8,27,,tsyplma01
703,Maxim Tsyplakov,27,NYI,F,27,1,1,2,-9,6,1,0,0,0,1,0,0,22,4.5,52,260:29,9:39,8,10,44.4,4,46,3,16,,tsyplma01
703,Maxim Tsyplakov,27,NJD,F,21,1,1,2,-7,0,1,0,0,0,1,0,0,19,5.3,37,174:36,8:19,1,0,100.0,4,37,5,11,,tsyplma01
704,Declan Carlile,25,TBL,D,41,1,2,3,7,40,1,0,0,0,2,0,0,33,3.0,97,601:55,14:41,0,0,,38,51,5,22,,carlide01
705,Jake Christiansen,26,CBJ,D,39,0,3,3,-6,8,0,0,0,0,3,0,0,25,0.0,76,391:34,10:02,0,0,,23,30,2,13,,chrisja01
706,Filip Chytil,26,VAN,C,12,3,0,3,-7,6,3,0,0,1,0,0,0,24,12.5,40,180:04,15:00,60,62,49.2,4,4,4,12,,chytifi01
707,Joey Daccord,29,SEA,G,47,0,3,3,0,4,0,0,0,0,3,0,0,3,0.0,7,2693:13,57:18,0,0,,0,0,0,37,,daccojo01
708,Mathew Dumba,31,PIT,D,11,1,2,3,-5,11,1,0,0,0,2,0,0,7,14.3,26,164:18,14:56,0,0,,12,16,6,8,,dumbama01
709,Cale Fleury,27,SEA,D,22,1,2,3,2,7,1,0,0,0,2,0,0,22,4.5,51,359:06,16:19,0,0,,31,46,4,20,,fleurca01
710,Jonah Gadjovich,27,FLA,LW,10,0,3,3,2,7,0,0,0,0,3,0,0,8,0.0,12,79:26,7:57,0,0,,3,30,3,3,,gadjojo01
711,Conor Geekie,21,TBL,C,14,1,2,3,-3,8,1,0,0,0,2,0,0,10,10.0,21,138:30,9:54,31,38,44.9,6,33,3,10,,geekico01
712,Erik Gudbranson,34,CBJ,D,36,1,2,3,5,19,1,0,0,0,2,0,0,33,3.0,86,638:51,17:45,0,0,,60,45,7,32,,gudbrer01
713,Jordan Harris,25,BOS,D,8,1,2,3,0,0,1,0,0,0,2,0,0,12,8.3,19,127:11,15:54,0,0,,5,5,1,6,,harrijo01
714,Garnet Hathaway,34,PHI,RW,65,1,2,3,-6,59,1,0,0,0,2,0,0,34,2.9,72,673:51,10:22,15,10,60.0,56,252,8,34,,hathaga01
715,Avery Hayes,23,PIT,F,15,3,0,3,-5,12,3,0,0,0,0,0,0,23,13.0,47,164:54,11:00,1,4,20.0,8,21,4,7,,hayesav01
716,Vincent Iorio,23,2TM,D,27,0,3,3,-4,12,0,0,0,0,3,0,0,15,0.0,41,424:54,15:44,0,0,,39,15,7,26,,ioriovi01
716,Vincent Iorio,23,SJS,D,21,0,3,3,-4,12,0,0,0,0,3,0,0,10,0.0,34,346:24,16:30,0,0,,32,11,4,14,,ioriovi01
716,Vincent Iorio,23,NYR,D,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,7,78:30,13:05,0,0,,7,4,3,12,,ioriovi01
717,Joakim Kemell,21,NSH,RW,15,1,2,3,3,0,1,0,0,0,2,0,0,11,9.1,33,152:52,10:11,1,6,14.3,8,25,4,5,,kemeljo01
718,Matthew Kessel,25,STL,D,28,2,1,3,2,10,2,0,0,1,1,0,0,19,10.5,42,350:40,12:31,0,0,,22,20,1,15,,kessema01
719,Vladislav Kolyachonok,24,2TM,D,13,1,2,3,2,4,1,0,0,1,2,0,0,12,8.3,24,163:02,12:32,0,0,,13,5,3,4,,kolyavl01
719,Vladislav Kolyachonok,24,DAL,D,11,1,2,3,3,4,1,0,0,1,2,0,0,10,10.0,19,138:51,12:37,0,0,,10,5,2,1,,kolyavl01
719,Vladislav Kolyachonok,24,BOS,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,5,24:11,12:06,0,0,,3,0,1,3,,kolyavl01
720,Jonathan Lekkerimäki,21,VAN,RW,13,2,1,3,-3,0,2,0,0,0,1,0,0,10,20.0,26,151:49,11:41,0,0,,5,10,1,7,,lekkejo01
721,Josh Mahura,27,SEA,D,22,1,2,3,8,16,1,0,0,1,2,0,0,14,7.1,39,339:30,15:26,0,0,,34,24,2,11,,mahurjo01
722,Victor Mancini,23,VAN,D,24,0,3,3,-12,7,0,0,0,0,3,0,0,14,0.0,32,329:38,13:44,0,0,,26,28,1,14,,mancivi01
723,Ivan Miroshnichenko,21,WSH,LW,12,2,1,3,1,2,2,0,0,0,1,0,0,12,16.7,30,114:44,9:34,0,0,,6,18,0,4,,mirosiv01
724,Bradly Nadeau,20,CAR,LW,11,3,0,3,1,2,2,1,0,0,0,0,0,12,25.0,31,138:52,12:37,0,3,0.0,5,21,0,8,,nadeabr01
725,Juuso Pärssinen,24,NYR,C,20,2,1,3,4,10,2,0,0,0,1,0,0,16,12.5,28,176:53,8:51,28,32,46.7,9,28,3,9,,parssju01
726,Noah Philp,27,2TM,F,17,2,1,3,-7,4,2,0,0,0,1,0,0,14,14.3,22,169:02,9:57,69,54,56.1,2,30,5,7,,philpno01
726,Noah Philp,27,EDM,F,15,2,1,3,-7,4,2,0,0,0,1,0,0,12,16.7,19,150:36,10:02,58,44,56.9,2,24,4,7,,philpno01
726,Noah Philp,27,CAR,F,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,3,18:26,9:13,11,10,52.4,0,6,1,0,,philpno01
727,Martin Pospisil,26,CGY,C,22,1,2,3,-4,17,1,0,0,0,2,0,0,19,5.3,36,223:20,10:09,16,18,47.1,6,84,3,5,,pospima01
728,Ryan Reaves,39,SJS,RW,50,3,0,3,-12,37,3,0,0,0,0,0,0,25,12.0,55,390:24,7:48,0,2,0.0,15,160,8,19,,reavery01
729,Alec Regula,25,EDM,D,29,0,3,3,-16,35,0,0,0,0,3,0,0,18,0.0,51,419:36,14:28,0,0,,44,15,7,28,,regulal01
730,Josh Samanski,23,EDM,F,23,1,2,3,0,6,1,0,0,0,2,0,0,8,12.5,24,238:53,10:23,52,53,49.5,12,26,5,10,,samanjo01
731,Dominik Shine,32,DET,F,18,3,0,3,0,7,3,0,0,0,0,0,0,13,23.1,19,124:50,6:56,5,6,45.5,6,14,6,8,,shinedo01
732,Brandon Tanev,34,UTA,LW,54,0,3,3,-16,50,0,0,0,0,3,0,0,40,0.0,81,503:00,9:19,3,11,21.4,34,148,7,32,,tanevbr01
733,Marshall Warren,24,NYI,D,8,0,3,3,0,4,0,0,0,0,3,0,0,7,0.0,19,91:49,11:29,0,0,,5,7,1,7,,warrema01
734,Arber Xhekaj,25,MTL,D,64,1,2,3,-7,116,1,0,0,0,2,0,0,38,2.6,120,722:42,11:18,0,0,,41,173,2,35,,xhekaar01
735,Curtis Douglas,25,2TM,C,41,1,2,3,-4,108,1,0,0,0,2,0,0,29,3.4,57,271:03,6:37,6,6,50.0,11,61,6,15,,douglcu01
735,Curtis Douglas,25,TBL,C,29,0,2,2,1,92,0,0,0,0,2,0,0,17,0.0,34,173:09,5:58,3,2,60.0,7,32,3,9,,douglcu01
735,Curtis Douglas,25,VAN,C,12,1,0,1,-5,16,1,0,0,0,0,0,0,12,8.3,23,97:54,8:10,3,4,42.9,4,29,3,6,,douglcu01
736,Brennan Othmann,23,2TM,LW,19,2,1,3,-8,11,2,0,0,0,0,1,0,15,13.3,30,190:02,10:00,0,3,0.0,8,44,2,5,,othmabr01
736,Brennan Othmann,23,NYR,LW,17,1,0,1,-4,11,1,0,0,0,0,0,0,13,7.7,23,167:55,9:53,0,2,0.0,8,40,2,5,,othmabr01
736,Brennan Othmann,23,CGY,LW,2,1,1,2,-4,0,1,0,0,0,0,1,0,2,50.0,7,22:07,11:04,0,1,0.0,0,4,0,0,,othmabr01
737,Egor Zamula,25,2TM,D,33,0,3,3,6,4,0,0,0,0,3,0,0,18,0.0,51,431:13,13:04,0,0,,40,7,6,27,,zamulye01
737,Egor Zamula,25,PHI,D,13,0,1,1,4,4,0,0,0,0,1,0,0,9,0.0,19,182:23,14:02,0,0,,15,2,1,10,,zamulye01
737,Egor Zamula,25,CBJ,D,20,0,2,2,2,0,0,0,0,0,2,0,0,9,0.0,32,248:50,12:27,0,0,,25,5,5,17,,zamulye01
738,Jack Ahcan,28,COL,D,10,0,2,2,2,0,0,0,0,0,2,0,0,6,0.0,17,114:06,11:25,0,0,,6,6,0,5,,ahcanja01
739,Jake Bean,27,CGY,D,16,1,1,2,-7,16,1,0,0,0,1,0,0,16,6.3,44,255:16,15:57,0,0,,29,3,5,15,,beanja01
740,Sergei Bobrovsky,37,FLA,G,52,0,2,2,0,9,0,0,0,0,1,1,0,0,,0,3009:39,57:53,0,0,,0,0,0,19,,bobrose01
741,Sacha Boisvert,19,CHI,F,7,1,1,2,-1,9,1,0,0,1,1,0,0,6,16.7,12,64:43,9:15,17,28,37.8,1,9,0,4,,boisvsa01
742,Dennis Cholowski,27,NJD,D,17,0,2,2,-6,2,0,0,0,0,2,0,0,12,0.0,25,249:25,14:40,0,0,,17,3,5,18,,cholode01
743,Drew Fortescue,20,NYR,D,8,0,2,2,4,4,0,0,0,0,2,0,0,3,0.0,13,117:51,14:44,0,0,,6,6,0,3,,fortedr01
744,Philipp Grubauer,34,SEA,G,32,0,2,2,0,0,0,0,0,0,2,0,0,0,,0,1791:06,55:58,0,0,,0,0,0,12,,grubaph01
745,Filip Gustavsson,27,MIN,G,50,0,2,2,0,0,0,0,0,0,0,2,0,0,,0,2967:55,59:22,0,0,,0,0,0,24,,gustafi01
746,Brian Halonen,27,NJD,F,15,1,1,2,-1,9,1,0,0,1,1,0,0,7,14.3,19,114:11,7:37,0,1,0.0,2,28,3,5,,halonbr01
747,Travis Hamonic,35,DET,D,25,0,2,2,-10,29,0,0,0,0,2,0,0,19,0.0,40,356:52,14:16,0,0,,41,27,5,19,,hamontr01
748,Justin Holl,34,STL,D,8,1,1,2,6,6,1,0,0,1,1,0,0,6,16.7,13,122:59,15:22,0,0,,5,4,3,3,,hollju01
749,Connor Ingram,28,EDM,G,31,0,2,2,0,2,0,0,0,0,2,0,0,0,,0,1718:33,55:26,0,0,,0,0,0,10,,ingraco01
750,Ben Jones,26,MIN,F,27,1,1,2,-11,0,1,0,0,0,1,0,0,26,3.8,45,233:54,8:40,72,62,53.7,11,56,1,8,,jonesbe01
751,Michael Kesselring,26,BUF,D,33,0,2,2,-2,50,0,0,0,0,2,0,0,46,0.0,100,440:22,13:21,0,0,,38,24,6,37,,kessemi01
752,Justin Kirkland,29,CGY,LW,20,1,1,2,1,2,1,0,0,1,1,0,0,11,9.1,29,196:27,9:49,63,63,50.0,11,29,3,14,,kirklju01
753,Kevin Korchinski,21,CHI,D,12,0,2,2,-4,4,0,0,0,0,2,0,0,6,0.0,15,161:17,13:26,0,0,,13,4,2,12,,korchke01
754,Sam Lafferty,30,CHI,C,28,1,1,2,-2,14,1,0,0,0,1,0,0,9,11.1,19,240:35,8:36,24,24,50.0,5,35,2,15,,laffesa01
755,Juho Lammikko,30,NJD,RW,24,0,2,2,-4,4,0,0,0,0,2,0,0,15,0.0,25,237:00,9:53,55,57,49.1,14,40,2,4,,lammiju01
756,Andre Lee,25,LAK,LW,7,1,1,2,-2,0,1,0,0,0,1,0,0,5,20.0,14,71:59,10:17,0,0,,3,17,3,2,,leean02
757,Charles-Alexis Legault,22,CAR,D,11,1,1,2,5,15,1,0,0,0,1,0,0,11,9.1,31,149:31,13:36,0,0,,9,12,6,10,,legauch01
758,Olle Lycksell,26,OTT,RW,7,1,1,2,-2,0,1,0,0,1,1,0,0,7,14.3,10,69:08,9:53,0,0,,4,4,1,1,,lycksol01
759,Hugh McGing,27,STL,LW,3,1,1,2,0,0,1,0,0,0,1,0,0,4,25.0,5,32:37,10:52,4,1,80.0,2,0,1,2,,mcginhu01
760,Elvis Merzļikins,31,CBJ,G,30,0,2,2,0,0,0,0,0,0,2,0,0,0,,0,1678:37,55:57,0,0,,0,0,0,13,,merzlel01
761,Colin Miller,33,WPG,D,16,0,2,2,-8,6,0,0,0,0,1,1,0,18,0.0,50,222:33,13:55,0,0,,11,28,2,11,,milleco02
762,Oscar Fisker Molgaard,20,SEA,C,13,0,2,2,2,2,0,0,0,0,2,0,0,6,0.0,15,120:04,9:14,34,42,44.7,8,9,1,8,,fiskeos01
763,Philippe Myers,29,TOR,D,39,0,2,2,-10,22,0,0,0,0,2,0,0,42,0.0,98,567:11,14:33,0,0,,51,55,4,35,,myersph01
764,Logan O'Connor,29,COL,RW,11,0,2,2,-1,2,0,0,0,0,2,0,0,8,0.0,16,122:41,11:09,0,1,0.0,2,11,3,2,,oconnlo01
765,Tyler Pitlick,34,MIN,C,32,2,0,2,-4,24,2,0,0,0,0,0,0,26,7.7,50,248:44,7:46,0,3,0.0,19,78,5,8,,pitlity01
766,Jacob Quillan,23,TOR,F,22,1,1,2,-6,2,1,0,0,0,1,0,0,14,7.1,30,223:21,10:09,64,86,42.7,12,43,6,11,,quillja01
767,Arturs Silovs,24,PIT,G,38,0,2,2,0,4,0,0,0,0,1,1,0,0,,0,2229:03,58:40,0,0,,0,0,0,13,,silovar01
768,Brendan Smith,36,CBJ,D,15,0,2,2,-1,11,0,0,0,0,2,0,0,10,0.0,21,166:10,11:05,0,0,,11,12,5,15,,smithbr05
769,Chris Tanev,36,TOR,D,11,0,2,2,8,0,0,0,0,0,2,0,0,8,0.0,18,197:42,17:58,0,0,,15,2,5,8,,tanevch01
770,Lassi Thomson,25,OTT,D,10,0,2,2,3,0,0,0,0,0,2,0,0,8,0.0,24,133:49,13:23,0,0,,9,5,4,6,,thomsla01
771,Andrei Vasilevskiy,31,TBL,G,58,0,2,2,0,11,0,0,0,0,2,0,0,0,,0,3430:45,59:09,0,0,,0,0,0,24,,vasilan02
772,Karel Vejmelka,29,UTA,G,62,0,2,2,0,2,0,0,0,0,2,0,0,0,,0,3593:16,57:57,0,0,,0,0,0,26,,vejmeka01
773,Carter Yakemchuk,20,OTT,D,4,1,1,2,-1,2,1,0,0,0,0,1,0,5,20.0,13,58:08,14:32,0,0,,4,0,1,7,,yakemca01
774,Nicolas Deslauriers,34,2TM,LW,30,0,2,2,-2,38,0,0,0,0,2,0,0,18,0.0,34,253:30,8:27,1,0,100.0,8,120,3,9,,deslani01
774,Nicolas Deslauriers,34,PHI,LW,24,0,1,1,-3,33,0,0,0,0,1,0,0,13,0.0,24,193:58,8:05,1,0,100.0,8,86,3,8,,deslani01
774,Nicolas Deslauriers,34,CAR,LW,6,0,1,1,1,5,0,0,0,0,1,0,0,5,0.0,10,59:32,9:55,0,0,,0,34,0,1,,deslani01
775,Jake Allen,35,NJD,G,37,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,2186:34,59:06,0,0,,0,0,0,12,,allenja01
776,Marek Alscher,21,FLA,D,3,0,1,1,3,0,0,0,0,0,1,0,0,4,0.0,9,60:53,20:18,0,0,,3,4,0,2,,alschma01
777,Frederik Andersen,36,CAR,G,35,0,1,1,0,4,0,0,0,0,1,0,0,0,,1,2101:52,60:03,0,0,,0,0,0,29,,anderfr01
778,Nicolas Aubé-Kubel,29,MIN,RW,5,0,1,1,0,6,0,0,0,0,1,0,0,4,0.0,11,57:44,11:33,0,5,0.0,4,5,1,1,,aubekni01
779,Alex Barré-Boulet,28,COL,F,1,0,1,1,0,0,0,0,0,0,1,0,0,0,,1,3:46,3:46,0,0,,0,2,0,0,,barreal01
780,Owen Beck,21,MTL,C,15,1,0,1,4,6,1,0,0,0,0,0,0,11,9.1,25,137:50,9:11,44,31,58.7,8,24,2,10,,beckow01
781,Jordan Binnington,32,STL,G,40,0,1,1,0,4,0,0,0,0,0,1,0,0,,0,2247:48,56:12,0,0,,0,0,0,17,,binnijo01
782,Anton Blidh,30,NYR,LW,4,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,5,30:49,7:42,0,0,,0,10,0,1,,blidhan01
783,Angus Booth,21,LAK,D,1,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,2,12:18,12:18,0,0,,1,2,0,1,,boothan01
784,Michael Brandsegg-Nygard,20,DET,F,13,0,1,1,-4,2,0,0,0,0,1,0,0,17,0.0,43,158:52,12:13,0,0,,3,40,5,12,,brandmi01
785,Brendan Brisson,24,NYR,C,3,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,3,31:46,10:35,0,0,,1,1,1,1,,brissbr01
786,Harrison Brunicke,19,PIT,D,9,1,0,1,-4,6,1,0,0,0,0,0,0,8,12.5,22,141:26,15:43,0,0,,13,4,1,14,,bruniha01
787,Brandon Bussi,27,CAR,G,38,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,2300:49,60:33,0,0,,0,0,0,29,,bussibr01
788,Ethan Cardwell,23,SJS,RW,7,1,0,1,-3,2,1,0,0,1,0,0,0,6,16.7,19,83:31,11:56,0,0,,1,9,3,5,,cardwet01
789,Connor Clattenburg,20,EDM,F,5,1,0,1,1,13,1,0,0,0,0,0,0,3,33.3,7,36:02,7:12,0,0,,3,17,0,4,,clattco01
790,Sam Colangelo,24,ANA,RW,9,1,0,1,-3,4,1,0,0,0,0,0,0,7,14.3,17,91:36,10:11,1,1,50.0,1,11,1,8,,colansa01
791,Devin Cooley,28,CGY,G,31,0,1,1,0,2,0,0,0,0,0,1,0,0,,0,1718:00,55:25,0,0,,0,0,0,17,,coolede01
792,Angus Crookshank,26,NJD,LW,8,1,0,1,1,4,1,0,0,0,0,0,0,4,25.0,9,68:51,8:36,1,2,33.3,7,5,0,2,,crookan01
793,Cameron Crotty,26,OTT,D,5,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,8,70:38,14:08,0,0,,3,2,1,1,,crottca01
794,Evgenii Dadonov,36,NJD,RW,23,1,0,1,-4,2,1,0,0,0,0,0,0,19,5.3,38,244:35,10:38,0,1,0.0,11,7,2,14,,dadonev01
795,Jared Davidson,23,MTL,C,10,0,1,1,-4,10,0,0,0,0,1,0,0,9,0.0,19,87:10,8:43,0,1,0.0,1,18,1,5,,davidja01
796,Luca Del Bel Belluz,22,CBJ,C,14,0,1,1,-2,4,0,0,0,0,1,0,0,11,0.0,16,127:22,9:06,23,37,38.3,10,3,2,1,,delbelu01
797,Thatcher Demko,30,VAN,G,20,0,1,1,0,0,0,0,0,0,0,1,0,0,,0,1115:52,55:48,0,0,,0,0,0,9,,demkoth01
798,Lukáš Dostál,25,ANA,G,55,0,1,1,0,6,0,0,0,0,1,0,0,0,,2,3211:03,58:23,0,0,,0,0,0,25,,dostalu01
799,Colten Ellis,25,BUF,G,15,0,1,1,0,0,0,0,0,0,1,0,0,0,,1,846:20,56:25,0,0,,0,0,0,12,,ellisco01
800,Adam Engstrom,22,MTL,D,14,0,1,1,3,8,0,0,0,0,1,0,0,10,0.0,27,180:19,12:53,0,0,,8,6,2,7,,engstad01
801,Samuel Ersson,26,PHI,G,32,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,1806:47,56:28,0,0,,0,0,0,5,,erssosa01
802,Nolan Foote,25,FLA,LW,11,1,0,1,-4,6,1,0,0,0,0,0,0,13,7.7,25,116:16,10:34,0,0,,4,26,2,2,,footeno01
803,Parker Ford,25,WPG,F,15,0,1,1,-2,4,0,0,0,0,1,0,0,10,0.0,25,146:15,9:45,30,36,45.5,12,27,2,1,,fordpa01
804,Isaiah George,21,NYI,D,3,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,2,36:56,12:19,0,0,,2,1,2,2,,georgis01
805,John Gibson,32,DET,G,56,0,1,1,0,4,0,0,0,0,1,0,0,0,,1,3149:20,56:14,0,0,,0,0,0,27,,gibsojo02
806,Dennis Gilbert,29,OTT,D,7,0,1,1,0,2,0,0,0,0,1,0,0,2,0.0,7,85:58,12:17,0,0,,12,7,0,5,,gilbede01
807,Patrick Giles,26,SJS,F,3,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,5,26:36,8:52,9,6,60.0,2,3,0,1,,gilespa01
